scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,315,0.0515,2.0476,4.1476,1542.0,1599.61,8066.0
Rondo,316,0.0465,2.329,4.429,1538.0,1667.23,8173.0
Rondo,317,0.0234,2.3436,4.4436,1540.0,1559.33,7766.0
Rondo,318,0.1179,1.7165,3.8165,1539.0,1769.89,8770.0
Rondo,319,0.117,1.9473,4.0473,1540.0,1854.06,8970.0
Rondo,320,0.0677,1.2717,3.3717,1538.0,1313.52,7061.0
Rondo,321,0.0893,1.9859,4.0859,1538.0,1721.79,8568.0
Rondo,322,0.1039,2.3558,4.4558,1542.0,1989.16,9376.0
Rondo,323,0.0113,1.0435,3.1435,1540.0,947.6,5546.0
Rondo,324,0.1193,2.3268,4.4268,1539.0,2021.02,9478.0
Rondo,325,0.12,2.168,4.268,1540.0,1998.35,9379.0
Rondo,326,0.0483,1.2451,3.3451,1541.0,1222.07,6748.0
Rondo,327,0.0675,1.4927,3.5927,1538.0,1432.83,7471.0
Rondo,328,0.1477,1.3294,3.4294,1541.0,1747.99,8481.0
Rondo,329,0.1082,2.3307,4.4307,1540.0,2012.95,9281.0
Rondo,330,0.0792,2.1969,4.2969,1540.0,1769.79,8667.0
Rondo,331,0.0733,1.4938,3.5938,1546.0,1466.85,7571.0
Rondo,332,0.0227,2.4067,4.5067,1543.0,1616.1,7873.0
Rondo,333,0.1345,1.8041,3.9041,1545.0,1858.44,8981.0
Rondo,334,0.1491,1.8475,3.9475,1541.0,1964.63,9179.0
Rondo,335,0.065,1.1352,3.2352,1536.0,1218.5,6752.0
Rondo,336,0.0008,1.1856,3.2856,1546.0,995.57,5744.0
Rondo,337,0.0048,1.941,4.041,1540.0,1326.82,6963.0
Rondo,338,0.0094,2.1205,4.2205,1539.0,1429.99,7365.0
Rondo,339,0.0445,1.346,3.446,1541.0,1222.48,6665.0
Rondo,340,0.0201,1.3443,3.4443,1541.0,1120.03,6250.0
Rondo,341,0.1186,2.3467,4.4467,1538.0,2053.42,9374.0
Rondo,342,0.0341,1.5087,3.6087,1538.0,1263.14,6866.0
Rondo,343,0.1344,2.0338,4.1338,1544.0,1974.63,9385.0
Rondo,344,0.012,2.2129,4.3129,1541.0,1489.47,7567.0
Rondo,345,0.0485,1.5462,3.6462,1541.0,1358.06,7363.0
Rondo,346,0.0768,2.2658,4.3658,1539.0,1832.4,8678.0
